Timestamp,AccelX,AccelY,AccelZ
10.768854,0.018112,-1.014282,-0.181122
10.789371,0.036224,-1.032394,-0.181122
10.810393,0.036224,-0.996170,-0.163010
10.831513,0.036224,-1.014282,-0.181122
10.852585,0.036224,-0.996170,-0.181122
10.873652,0.054337,-0.978058,-0.181122
10.894431,0.054337,-0.959946,-0.181122
10.915595,0.036224,-0.959946,-0.181122
10.936672,0.054337,-0.978058,-0.181122
10.957611,0.036224,-0.959946,-0.181122
10.978686,0.036224,-0.959946,-0.181122
10.999738,0.036224,-0.959946,-0.199234
11.019917,0.054337,-0.959946,-0.181122
11.040391,0.054337,-0.959946,-0.181122
11.061359,0.054337,-0.941833,-0.181122
11.082393,0.054337,-0.959946,-0.163010
11.103449,0.072449,-0.959946,-0.199234
11.123937,0.090561,-0.978058,-0.235458
11.144419,0.108673,-0.996170,-0.181122
11.165285,0.108673,-0.996170,-0.199234
11.186362,0.126785,-0.959946,-0.163010
11.207444,0.163010,-0.978058,-0.163010
11.228238,0.181122,-0.996170,-0.163010
11.248707,0.199234,-0.978058,-0.181122
11.269806,0.217346,-0.996170,-0.181122
11.290887,0.235458,-1.014282,-0.199234
11.311931,0.271683,-1.050507,-0.181122
11.333036,0.326019,-1.014282,-0.126785
11.353912,0.326019,-0.941833,-0.108673
11.375017,0.344131,-0.941833,-0.126785
11.396193,0.362244,-0.996170,-0.181122
11.417104,0.380356,-1.014282,-0.181122
11.438153,0.362244,-1.014282,-0.199234
11.459395,0.326019,-0.978058,-0.181122
11.479651,0.307907,-0.978058,-0.163010
11.499958,0.289795,-0.959946,-0.181122
11.520973,0.253571,-0.941833,-0.217346
11.541270,0.235458,-0.959946,-0.181122
11.562333,0.199234,-0.978058,-0.217346
11.583439,0.181122,-0.996170,-0.307907
11.603619,0.163010,-1.032394,-0.344131
11.624835,0.144897,-1.032394,-0.307907
11.645762,0.108673,-0.996170,-0.362244
11.666864,0.108673,-0.996170,-0.344131
11.687475,0.072449,-0.978058,-0.344131
11.707934,0.054337,-0.959946,-0.326019
11.728201,0.054337,-0.941833,-0.344131
